Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email 
Шеремета,Володимира,,Жінка,1962-11-14,Пекар,село Золоте,"провулок Композитора Глинки, буд. 902 кв. 0, Носівка, 86333",022 267 92 94,whuzenko@example.org
Комар,Олена,,Жінка,1956-01-22,Льотчик,місто Гребінка,"проспект Дідріхсона, буд. 56, Луганськ, 13831",013 669 70 77,demydprykhodko@example.org
Остапчук,Анастасія,,Жінка,1974-07-15,Педагог,селище Старобільськ,"провулок Деревообробний 4-й, буд. 3 кв. 251, Хмільник, 04619",+380 (25) 271-11-13,ropanasenko@example.com
Хомик,Одарка,,Жінка,1993-03-05,Географ,хутір Борзна,"шосе Виноградна 3-тя, буд. 4 кв. 863, Кіцмань, 35492",079-33-64,tmazur@example.com
Гречаник,Роксолана,,Жінка,1989-09-03,Інженер,місто Сімферополь,"проспект 6-та Суворовська, буд. 870, Сулимівка (Слов'янськ), 09971",+380 (50) 846-80-47,zchupryna@example.net
Акименко,Маруся,,Жінка,1996-08-04,Будник,село Білицьке,"парк Мирна, буд. 66 кв. 1, Іллінці, 90455",+380 11 511-19-71,priskashvaika@example.net
Сірко,Соломія,,Жінка,1983-02-26,Мовознавець,село Енергодар,"парк Озерна, буд. 07 кв. 0, Керч, 81043",097 086 78 89,tkashchenko@example.net
Байда,Сніжана,,Жінка,1974-10-08,Лікар,селище Дунаївці,"парк Садова 6-та, буд. 36 кв. 72, Новодністровськ, 16474",+380 (74) 095-43-92,nvlasenko@example.org
Данько,Аліна,,Жінка,1986-06-29,Флорист,хутір Виноградів,"узвіз Геологічна, буд. 66, Перечин, 41347",+380 (09) 174-35-12,derhacholeh@example.org
Макогон,Марія,,Жінка,1954-07-12,Художник,хутір Жовква,"провулок Василя Кандинського 4-й, буд. 60 кв. 833, Хорол , 59388",+380 29 211 12 09,fonyshchenko@example.com
Єщенко,Аліна,,Жінка,1938-11-16,Вчитель,село Олевськ,"вулиця Ланжеронівський узвіз, буд. 00, Судова Вишня, 98599",+380 62 628-98-98,gzhytskyidavyd@example.net
Джунь,Анастасія,,Жінка,1968-01-29,Дантист,село Рудки,"шосе Березова, буд. 125 кв. 9, Долина , 06050",+380 17 335 12 94,aleksandrenkohlib@example.com
Дробаха,Віолетта,,Жінка,1986-11-15,Медик,хутір Рені,"провулок 11-ша Лінія 6-й ст. Люстдорфської дороги, буд. 4 кв. 071, Прилуки, 47508",+380 59 497-10-11,ieremenkospas@example.com
Удовиченко,Марта,,Жінка,1989-05-03,Музичний редактор,село Нікополь,"сквер Госпітальний, буд. 5 кв. 218, Шахтарськ, 46175",018 641-91-37,ielysei06@example.net
Остапчук,Анастасія,,Жінка,2006-04-04,Кур'єр,селище Олександрівськ,"узвіз Байдарочний, буд. 5 кв. 66, Іллінці, 70495",017 513-72-91,nbezditko@example.net
Онуфрієнко,Михайлина,,Жінка,1982-07-22,Астроном,хутір Баранівка,"провулок Селекційний, буд. 9 кв. 273, Почаїв, 77460",057 801 15 62,mverkhovynets@example.net
Гаврилець,Марʼяна,,Жінка,2005-05-19,Машиніст,село Судова Вишня,"провулок Виноградна 1-ша, буд. 394, Харцизьк, 95239",+380 (21) 135-96-07,hryhoriiatroshchenko@example.net
Зінченко,Марта,,Жінка,1956-01-02,Швачка,селище Олешки,"сквер Степана Олійника узвіз, буд. 815, Калуш, 06999",+380 (15) 056-10-92,khudobiakaaron@example.org
Шелест,Данна,,Жінка,1989-05-17,Детектив,селище Старобільськ,"узвіз Незалежності, буд. 2, Коростень, 36027",544 01 65,petroverkhovynets@example.com
Бабенко,Святослава,,Жінка,1953-09-07,Головний меркшейдер,село Середина-Буда,"вулиця Житомирський 3-й, буд. 081, Костянтинівка, 86478",213-00-05,davyd81@example.net
Жарко,Ганна,,Жінка,1982-02-18,Фермер,селище Дергачі,"узвіз Іцхака Рабіна, буд. 003, Немирів, 16339",589-16-90,semen57@example.org
Чміль,Соломія,,Жінка,2005-01-21,Графік,місто Ізмаїл,"вулиця Соляний 7-й, буд. 17 кв. 592, Малин, 58828",080-86-03,nadiiatymchenko@example.net
Ємельяненко,Анжела,,Жінка,1958-09-29,Промисловець,селище Курахове,"сквер Бехтерєва, буд. 62 кв. 88, Люботин, 15689",+380 63 111-91-19,boryslav24@example.net
Годунок,Богданна,,Жінка,1988-02-12,Астрофізик,село Нова Одеса,"сквер Краснова, буд. 8 кв. 6, Болград, 51510",571 89 20,wiurchuk@example.net
Байдак,Ірена,,Жінка,2000-01-07,Живописець,місто Мена ,"парк Бернардацці, буд. 6 кв. 0, Сулимівка (Слов'янськ), 31318",030 824-25-21,vakarchuktaras@example.org
Луценко,Алла,,Жінка,1946-05-26,Перекладач,село Білогірськ,"сквер Вокзальний, буд. 157, Червоноград, 62477",+380 56 560-54-43,ada49@example.net
Габелко,Едита,,Жінка,1950-07-31,Конструктор,селище Алупка,"узвіз Дзвінка, буд. 74 кв. 3, Охтирка, 08978",688 15 08,riaboshapkaavhustyn@example.org
Мазур,Оксана,,Жінка,2007-08-01,Стиліст,хутір Куп'янськ,"провулок Наклонна, буд. 03, Сміла, 74319",038 386-47-22,iatsenkomykolai@example.com
Адаменко,Мілена,,Жінка,1974-12-25,Епідеміолог,селище Помічна,"шосе Сонячна, буд. 48, Хорол , 97346",+380 39 448 31 52,vira49@example.org
Демʼяненко,Христина,,Жінка,1975-12-13,Кінорежисер,хутір Звенигородка,"парк Касима Юрія, буд. 282, Дергачі, 40861",404 83 47,borysdanylchuk@example.org
Корж,Сніжана,,Жінка,1969-04-30,Флорист,місто Березань ,"площа 4-та Лінія 6-й ст. Люстдорфської дороги, буд. 3 кв. 0, Сарни, 44641",+380 (32) 628-75-41,kshamrai@example.net
Андріїшин,Анастасія,,Жінка,1983-12-27,Ріелтор,місто Бершадь,"сквер Виноградний, буд. 900 кв. 091, Обухів, 98420",+380 28 576-16-31,irena90@example.org
Ільченко,Віолетта,,Жінка,1983-02-05,Кур'єр,місто Лебедин,"шосе Просвіти, буд. 2 кв. 8, Сколе, 27584",090 654-76-62,zakharnazarenko@example.net
Баранник,Віолетта,,Жінка,2003-05-18,Астроном,хутір Зимогір'я,"шосе Компасний, буд. 42, Херсон, 04533",+380 (51) 100-06-96,masliakavhustyn@example.org
Дергач,Сніжана,,Жінка,1966-04-26,Електромонтер,селище Гнівань,"узвіз Поїзна, буд. 95, Зимогір'я, 50472",+380 92 030-92-36,adakarpa@example.com
Теличенко,Марина,,Жінка,2007-01-05,Льотчик,хутір Ямпіль,"узвіз Жаботинського, буд. 6, Костопіль, 58474",+380 10 510-88-26,shevchenkoroksolana@example.org
Іващенко,Тетяна,,Жінка,1976-12-25,Хімік,місто Винники,"набережна Лінія 46-та, буд. 678 кв. 22, Вознесенівка, 13166",089 848-11-75,haidaiiukhym@example.org
Шаблій,Святослава,,Жінка,1940-04-17,Ботанік,місто Болград,"набережна Гоголя, буд. 2 кв. 89, Сокаль, 46852",+380 22 077 97 82,alupii@example.net
Демʼяненко,Оксана,,Жінка,1942-05-21,Композитор,місто Білгород-Дністровський,"парк 40-річчя оборони Одеси, буд. 923 кв. 6, Вільнянськ, 18250",229-80-42,cdemianchuk@example.org
Адамчук,Михайлина,,Жінка,1944-09-26,Няня,селище Снігурівка,"проспект Коцебу міст, буд. 7 кв. 4, Біла Церква, 01006",+380 62 123-09-18,maryna21@example.net
Кальченко,Аніта,,Жінка,1961-10-20,Режисер,хутір Кремінна,"узвіз Лінія 40-ва, буд. 703 кв. 0, Нікополь, 80717",+380 58 597-59-12,viktor58@example.org
Бевз,Пріска,,Жінка,1953-10-22,Географ,селище Сокаль,"шосе 411-ї батареї, буд. 4 кв. 31, Арциз, 42277",346-69-10,spas10@example.com
Царенко,Наталія,,Жінка,1953-12-18,Лікар,село Іршава,"набережна Астрономічний, буд. 5 кв. 07, Деражня, 80391",530-61-80,makar84@example.org
Заруба,Надія,,Жінка,1987-07-01,Художник,село Світлодарськ,"парк Шишкіна 2-й, буд. 5 кв. 22, Бершадь, 94440",085 132-67-78,okseniiatsisyk@example.com
Батюк,Лілія,,Жінка,1949-05-06,Композитор,селище Знам'янка,"узвіз 5-та Лінія 6-й ст. Люстдорфської дороги, буд. 810 кв. 25, Семенівка, 81102",+380 39 116-48-22,amaliiadanchenko@example.com
Іщенко,Тетяна,,Жінка,1982-12-02,Будник,хутір Дрогобич,"парк Карантинний узвіз, буд. 995 кв. 7, Костопіль, 90315",155 16 82,snizhana68@example.net
Салій,Марта,,Жінка,1985-03-30,Кіноактор,місто Новоукраїнка,"шосе Українська, буд. 29, Синельникове, 44800",+380 11 599-72-39,ada23@example.com
Єресько,Ірина,,Жінка,1997-06-11,Філолог,місто Бершадь,"вулиця Пересипський 2-й, буд. 179, Теплодар, 36985",673-27-63,kashchenkoiryna@example.com
Дурдинець,Марта,,Жінка,1990-07-22,Фармацевт,селище Батурин,"парк Аеропортівська, буд. 285 кв. 153, Ромни, 82548",299-36-02,ruslan97@example.com
Товстоліс,Одарка,,Жінка,1959-02-26,Ріелтор,селище Корсунь-Шевченківський,"набережна Соляний 3-й, буд. 2 кв. 685, Дрогобич, 99924",032 148-71-76,vdovychenkozlatoslava@example.net
Іваничук,Ольга,,Жінка,2006-11-15,Бухгалтер,хутір Тульчин,"проспект Романтиків, буд. 2, Вільногірськ, 01308",226-91-21,rozaliiadzyndra@example.org
Семенченко,Христина,,Жінка,1989-09-26,Біолог,селище Люботин,"провулок Державіна, буд. 6 кв. 14, Болехів, 47371",+380 45 780-04-84,qisaienko@example.org
Арсенич,Василина,,Жінка,1940-07-16,Сантехнік,хутір Луцьк,"парк 1-ша Лінія 6-й ст. Люстдорфської дороги, буд. 332, Ірміно, 63568",+380 (71) 775-27-02,giatseniuk@example.org
Ярема,Марія,,Жінка,1990-01-09,Архітектор,село Барвінкове,"набережна Тарутинська, буд. 906, Карлівка, 81349",032 787-04-88,kylymnykpylyp@example.com
Дрозд,Аліна,,Жінка,1958-08-03,Стоматолог,хутір Жовква,"шосе Виноградна, буд. 54, П'ятихатки, 56386",+380 89 308-19-98,abramchukfrants@example.org
Ребрик,Тетяна,,Жінка,1950-09-28,Історик,селище Кам'янка-Бузька,"набережна Кустанайська, буд. 5 кв. 8, Ясинувата, 47376",031 474 61 82,marko16@example.net
Фастенко,Галина,,Жінка,2007-04-23,Каскадер,хутір Жашків,"парк Бреуса, буд. 300, Краматорськ, 36894",984-69-29,mykhailo46@example.org
Бабʼяк,Олена,,Жінка,1939-01-14,Парфюмер,селище Дрогобич,"набережна Отамана Головатого, буд. 523, Старий Крим, 52639",+380 50 174-36-81,demianenkomykolai@example.net
Алексеєнко,Наталія,,Жінка,1946-03-18,Історик,село Дубно,"вулиця Петра Лещенка, буд. 854, Пустомити, 15063",+380 39 688-71-18,iemetsteodor@example.com
Овчаренко,Ірена,,Жінка,2002-01-29,Бухгалтер,місто Рава-Руська,"сквер 11-ша Лінія 6-й ст. Люстдорфської дороги, буд. 3, Алушта, 88364",281-73-33,datsiukeduard@example.org
Самойленко,Пріска,,Жінка,1993-09-25,Біолог,селище Попасна,"набережна Тираспольська, буд. 86 кв. 416, Галич, 91933",055 586-01-23,ulutsenko@example.net
Тимчук,Камілла,,Жінка,2000-11-16,Сантехнік,хутір Хмільник,"площа Грецька, буд. 56, Тростянець, 87123",+380 26 466 68 56,gvermenych@example.net
Тягнибок,Орина,,Жінка,1974-09-30,Ріелтор,хутір Свалява,"провулок Поштова, буд. 012, Жмеринка, 99021",323 59 18,stanislav07@example.com
Овчаренко,Оксана,,Жінка,1995-08-16,Гірник,селище Сулимівка (Слов'янськ),"площа Маяковського, буд. 8, Волочиськ, 06017",862-00-41,anzhelakhomyk@example.net
Швачко,Оксенія,,Жінка,1966-08-12,Архітектор,селище Герца,"шосе Учительський, буд. 91, Миколаївка , 73068",+380 92 069-26-87,iaroslavashyian@example.net
Онищенко,Маруся,,Жінка,1949-02-09,Менеджер,місто Оріхів,"площа Гімназична, буд. 723 кв. 743, Кремінна, 06948",088 592-04-38,petromiroshnychenko@example.com
Колесниченко,Оксана,,Жінка,2005-01-13,Літературознавець,селище Дружківка,"шосе Новиков міст, буд. 46, Старобільськ, 78985",+380 95 552 55 54,idakhno@example.com
Лемешко,Михайлина,,Жінка,1993-11-17,Кінолог,місто Святогірськ,"узвіз Ланжеронівська, буд. 9 кв. 2, Путивль, 24909",844 67 42,tetianachuiko@example.com
Чабан,Христина,,Жінка,1983-10-08,Скульптор,хутір Чуднів,"узвіз Кришталева, буд. 859 кв. 546, Турка, 35093",+380 (09) 576-12-06,marta37@example.org
Голобородько,Тетяна,,Жінка,1960-09-08,Композитор,місто Корець,"проспект Коцюбинського, буд. 8 кв. 906, Харків, 73652",074 268 47 61,fdanyliuk@example.com
Шелест,Софія,,Жінка,2006-05-28,Геофізик,селище Луцьк,"площа Василя Кандинського 2-й, буд. 83 кв. 2, Олександрівськ, 61538",+380 70 750-17-20,khrystynadzyndra@example.com
Михалюк,Данна,,Жінка,1971-05-07,Візажист,хутір Синельникове,"сквер Відважних, буд. 6 кв. 5, Новомиргород, 76612",069 27 34,vandriiovych@example.net
Жадан,Марія,,Жінка,1973-05-21,Вчитель,село Шумськ,"набережна Педагогічний, буд. 354 кв. 16, Херсон, 79021",033 113-10-10,ilavrenko@example.com
Стець,Марта,,Жінка,2006-06-01,Геолог,хутір Слов'янськ,"набережна Академіка Воробйова, буд. 5, Буринь, 01080",044 76 97,wsmyk@example.com
Швачка,Ірена,,Жінка,1965-10-06,Електромонтажник,хутір Андрушівка,"площа Єрмака, буд. 11, Погребище, 89084",077 737 59 61,jiemets@example.com
Мірошниченко,Сніжана,,Жінка,1951-02-08,Ді-джей,місто Ужгород,"парк Сєрова, буд. 044, Першотравенськ, 35331",089 186 33 71,llazarenko@example.com
Охріменко,Людмила,,Жінка,1942-07-19,Бізнесмен,місто Зіньків,"площа Тетяни Тесс, буд. 52 кв. 076, Городок, 68321",045 415 68 91,milena38@example.net
Аронець,Наталія,,Жінка,1958-03-21,Фольклорист,селище Роздільна,"набережна Банний, буд. 305 кв. 626, Славутич, 40977",+380 07 253-67-48,priska19@example.net
Дацюк,Златослава,,Жінка,1993-11-05,Модель,хутір Кобеляки,"сквер Кладовищенська, буд. 89, Приморськ (Україна), 40061",121-89-75,movcharenko@example.com
Корж,Мілена,,Жінка,1995-03-10,Бібліограф,місто Сорокине,"узвіз Троїцька, буд. 4, Болград, 07402",+380 44 807-77-51,mykhailochaika@example.org
Ґжицька,Віра,,Жінка,1948-12-23,Пілот,місто Борщів,"проспект Лютеранський, буд. 25, Євпаторія, 99693",+380 (56) 836-59-52,qdavymuka@example.net
Таран,Богуслава,,Жінка,1957-02-10,Економіст,місто Ананьїв,"сквер Аркадіївський, буд. 7 кв. 21, Українка , 73741",+380 68 866-04-27,ielysaveta62@example.net
Василевич,Василина,,Жінка,1939-03-20,Антрополог,село Охтирка,"вулиця Василя Кандинського 3-й, буд. 3, Дніпро , 26025",137 59 69,zabilamyroslav@example.net
Демʼянчук,Людмила,,Жінка,1989-05-16,Правник,місто Чуднів,"площа Пляжна, буд. 7, Севастополь, 89727",085 498-38-93,vbezborodko@example.com
Дейнеко,Амалія,,Жінка,1988-03-22,Скульптор,місто Петрово-Красносілля,"сквер Дворянська, буд. 231, Броди, 44992",+380 24 745-93-59,omelianiashchuk@example.com
Безбородько,Роксолана,,Жінка,1989-07-11,Архітектор,село Хрустальний,"узвіз Першотравневий 3-й, буд. 101 кв. 56, Жовті Води, 35357",+380 77 237 74 50,orysiaonufriienko@example.net
Бандера,Розалія,,Жінка,1984-01-24,Краєзнавець,селище Чистякове,"проспект Гранатний, буд. 825, Чигирин, 65606",+380 (55) 187-72-57,vasyl78@example.net
Єрьоменко,Амалія,,Жінка,1996-04-20,Правник,селище Ходорів,"узвіз 14-та Лінія 6-й ст. Люстдорфської дороги, буд. 3 кв. 0, Надвірна, 32501",067-49-29,kostiantynrubets@example.org
Акименко,Орина,,Жінка,1997-10-31,Етнограф,селище Полонне,"шосе Балтський 5-й, буд. 025, Черкаси, 97871",+380 33 244 40 07,cderkach@example.com
Гавришкевич,Камілла,,Жінка,1991-08-11,Кушнір,селище Жашків,"шосе Леваневського тупик, буд. 42, Прилуки, 72352",068 480-93-74,vvasylechko@example.com
Гавришкевич,Дарина,,Жінка,1963-07-16,Стропальник,місто Кобеляки,"площа Кустанайський 2-й, буд. 540, Федорівка, 06365",659-92-74,derehustaras@example.com
Архипенко,Амалія,,Жінка,1977-01-23,Намотувальник,місто Хмельницький,"площа Восьмого Березня Лінія 1-ша, буд. 7, Овруч, 49524",+380 27 314 82 63,rozaliia57@example.org
Твердохліб,Наталія,,Жінка,1990-11-02,Мірошник,місто Луцьк,"провулок Радіальна, буд. 456, Зоринськ, 21169",+380 (07) 304-99-07,danna90@example.org
Базилевська,Аліна,,Жінка,1981-05-27,Правник,село Винники,"сквер Єфімова, буд. 7, Ялта, 73002",+380 88 628-17-44,mievtushenko@example.org
Нестеренко,Маруся,,Жінка,1993-06-27,Диригент,місто Рахів,"парк Проектований 3-й, буд. 2 кв. 843, Дружба , 96974",038-33-96,arsenbabko@example.org
Ґерус,Марта,,Жінка,1991-01-03,Геолог,селище Заставна,"парк Ямська, буд. 13, Овруч, 21286",+380 79 498-61-52,wkonoplenko@example.org
Чабан,Юстина,,Жінка,1996-07-15,Секретар,селище Тлумач,"вулиця Прибережний, буд. 95, Дубно, 67233",+380 21 440-30-79,zinchenkoavhustyn@example.net
Власюк,Юстина,,Жінка,1982-11-09,Музикознавець,місто Нове Давидково,"проспект Восьмого Березня Лінія 4-та, буд. 7 кв. 43, Хотин, 07249",566 51 91,stefanlysenko@example.net
Притула,Еріка,,Жінка,1980-06-27,Кур'єр,хутір Зіньків,"проспект Зелена гірка, буд. 042, Брянка, 99886",050 155-72-74,kvdovenko@example.net
Козаченко,Роксолана,,Жінка,1990-06-16,Складальник,хутір Кагарлик,"узвіз Дунаєвського 1-й, буд. 41, Збараж, 33893",221 30 18,korsunmykolai@example.org
Сірко,Єва,,Жінка,1947-01-21,Петрограф,хутір Любомль,"вулиця Ямська, буд. 169 кв. 82, Кілія, 49274",001 277 25 90,rostyslavchuiko@example.net
Дацюк,Тетяна,,Жінка,1950-12-21,Етнограф,село Щастя ,"провулок Лиманчик 2-й Лінія 1-ша, буд. 95 кв. 480, Генічеськ, 48074",497 26 80,vladyslav47@example.net
Верхола,Аліна,,Жінка,1962-01-03,Стропальник,село Підгайці,"провулок Чорноморський 6-й, буд. 968, Бунге , 67491",066 406 79 58,andriishynbohodar@example.com
Єременко,Орися,,Жінка,1945-01-13,Ювелір,село Горохів,"вулиця Нова, буд. 29, Деражня, 54596",011 837 32 10,khudobiakievhen@example.net
Франко,Ада,,Жінка,2007-08-20,Петрограф,місто Кодима,"узвіз Виїзна, буд. 6 кв. 868, Лозова , 62192",066 592-81-02,tetianaaronets@example.net
Дуплій,Володимира,,Жінка,1940-05-25,Бізнесмен,хутір Золотоноша,"проспект 7-ма Лінія Дачі Ковалевського, буд. 7, Красноград, 16584",214-79-05,nataliia53@example.net
Ющенко,Орина,,Жінка,1994-11-26,Дерун,місто Надвірна,"проспект Шебелінський, буд. 859, Іллінці, 04015",091 427-62-16,emiliia10@example.com
Вишняк,Алла,,Жінка,1949-02-21,Фармацевт,селище Сміла,"площа Локомотивний 3-й, буд. 51 кв. 353, Марганець , 78697",082 529-05-54,prymachenkoaaron@example.org
Затула,Аліна,,Жінка,2005-12-07,Різноробочий,селище Галич,"набережна Дунаєва, буд. 81 кв. 557, Сквира, 73989",033 091-82-49,lavrenkoruslan@example.net
Захарченко,Валентина,,Жінка,1943-08-08,Ветеринар,село Сміла,"провулок Кривобалківська, буд. 5 кв. 87, Покров, 62460",+380 17 992 35 76,liubov64@example.org
Назаренко,Златослава,,Жінка,1979-11-27,Патологоанатом,хутір Севастополь,"набережна 13-та ст. Великого Фонтану пляж, буд. 80, Липовець, 46815",095 961 54 62,bashtanmilena@example.org
Годунок,Надія,,Жінка,1958-01-03,Музикознавець,хутір Кремінна,"проспект Платанова, буд. 87 кв. 06, Сіверськ, 66984",+380 (97) 522-18-86,matroshchenko@example.com
Барабаш,Богуслава,,Жінка,1982-09-17,Кінорежисер,хутір Городенка,"проспект ім. С.Ю. Вітте, буд. 18 кв. 92, Заставна, 57419",071 670-56-76,babiichukvenedykt@example.net
Абрамчук,Святослава,,Жінка,2000-07-12,Диригент,селище Турка,"набережна Депутатський, буд. 172, Вінниця, 85779",983 52 61,opelekh@example.com
Лубенець,Златослава,,Жінка,1971-07-19,Ботанік,місто Світлодарськ,"провулок Селищна, буд. 19 кв. 81, Звенигородка, 40372",599 16 20,volodymyrkovalenko@example.org
Вівчаренко,Галина,,Жінка,1945-11-17,Кіноактор,місто Біла Церква,"площа Крутоярська, буд. 19, Хрустальний, 45383",093 449-94-01,divasiuk@example.net
Устенко,Марʼяна,,Жінка,1965-07-20,Головний меркшейдер,хутір Соснівка ,"парк Херсонський, буд. 864 кв. 93, Харків, 67888",+380 34 964 86 22,oleksahutsuliak@example.org
Вернидуб,Олена,,Жінка,1938-09-10,Адвокат,село Вільнянськ,"сквер Літературна, буд. 01, Кагарлик, 91391",+380 (43) 908-35-66,erika62@example.com
Лаба,Володимира,,Жінка,1940-10-07,Стропальник,селище Шостка,"проспект Єрмака, буд. 029, Рожище, 94580",800-43-59,oleksabezditko@example.net
Вернидуб,Соломія,,Жінка,1971-04-09,Різноробочий,селище Вилкове,"шосе Геологічна, буд. 565, Лебедин, 85363",916 46 54,leopoldishchenko@example.com
Чумаченко,Володимира,,Жінка,1939-04-19,Фрілансер,хутір Світлодарськ,"узвіз Балтський 3-й, буд. 37, Хмільник, 69162",048 784 55 48,iaryna05@example.com
Редько,Пріска,,Жінка,1969-12-05,Біолог,селище Зугрес,"сквер Юннатів 3-й, буд. 59 кв. 026, Моспине, 47209",096-00-54,tovstolisliudmyla@example.net
Верменич,Михайлина,,Жінка,1996-09-23,Кур'єр,місто Куп'янськ,"набережна Горбатий міст, буд. 16 кв. 257, Остер , 16949",012-29-39,borys62@example.com
Редько,Варвара,,Жінка,1959-05-18,Електротехнік,село Алупка,"шосе Уютна, буд. 9 кв. 14, Перечин, 21932",867-05-52,lshvedchenko@example.com
Харченко,Тереза,,Жінка,1946-01-14,Драматург,місто Липовець,"парк Суднобудівний, буд. 165, Новгород-Сіверський, 65817",+380 51 376-42-02,albert33@example.org
Шевченко,Марʼяна,,Жінка,1956-07-18,Модельєр,село Сорокине,"шосе Деревообробний 4-й, буд. 114, Трускавець, 80425",+380 20 984-23-40,cdanylenko@example.org
Данько,Марія,,Жінка,1952-10-22,Фотограф,місто Городня,"сквер Літературна, буд. 2 кв. 8, Липовець, 72330",252-97-79,trokhym75@example.com
Титаренко,Сніжана,,Жінка,2004-10-18,Астронавт,місто Ковель,"сквер Хімічна, буд. 5 кв. 3, Родинське, 73542",049 952-49-44,hennadii75@example.org
Гаврилів,Анастасія,,Жінка,1995-05-26,Прокурор,місто Валки ,"парк Ланжеронівський узвіз, буд. 6 кв. 4, Кадіївка, 78716",563 21 20,olesandroshchuk@example.org
Щербак,Данна,,Жінка,1981-02-17,Краєзнавець,селище Бердянськ,"узвіз Суворовська, буд. 0, Маріуполь, 10463",+380 90 564 36 63,ashchyrytsia@example.org
Скопенко,Юстина,,Жінка,1970-02-17,Ріелтор,місто Андрушівка,"провулок Приморський, буд. 38, Антрацит , 32076",+380 (08) 723-82-14,iustynabaranyk@example.org
Чабан,Ірина,,Жінка,1975-05-02,Фармацевт,хутір Знам'янка,"провулок Дальня, буд. 387, Львів, 51956",500 31 63,hennadii66@example.com
Полтавець,Соломія,,Жінка,1947-07-07,Співак,село Токмак,"шосе Абрикосовий, буд. 5, Сколе, 32696",+380 81 765-53-95,bohodardankevych@example.com
Акуленко,Емілія,,Жінка,1998-03-16,Підприємець,село Дрогобич,"сквер Виноградна 1-ша, буд. 143, Іллінці, 93046",927 12 04,sdakhno@example.net
Шведченко,Ганна,,Жінка,1979-03-21,Стиліст,селище Бахмут,"вулиця Штурманська, буд. 112, Тисмениця, 86731",065 229 64 71,kyrylokanivets@example.org
Удовиченко,Емілія,,Жінка,1941-07-30,Ді-джей,село Червоносів,"площа Лазурний 5-й, буд. 25, Самбір, 94217",+380 14 306-60-48,mykhailiukalbina@example.com
Євтушок,Галина,,Жінка,1983-02-01,Кінорежисер,село Дружба ,"набережна Вєтрова, буд. 45, Белз, 27110",099 849-43-03,bevzrostyslav@example.net
Піддубна,Златослава,,Жінка,1961-01-03,Дипломат,селище Дніпрорудне,"узвіз Ялинкова, буд. 8, Волочиськ, 25173",223-56-10,iaroslavzatula@example.org
Шутько,Орина,,Жінка,1988-12-15,Композитор,селище Гадяч,"площа Омська, буд. 43, Жмеринка, 46276",021 555-86-58,oleksaandriichuk@example.org
Ванченко,Марина,,Жінка,1983-07-06,Фрілансер,місто Горішні Плавні,"шосе Восьмого березня 1-й, буд. 232, Саки , 31458",300 83 15,shukhevychhordii@example.org
Гавриш,Олена,,Жінка,1983-09-19,Пекар,хутір Харків,"сквер Іванова 1-й, буд. 34, Батурин, 82067",064-29-50,ieshchenkomariia@example.net
Таран,Розалія,,Жінка,1970-03-28,Геолог,місто Олевськ,"сквер Олександрівський, буд. 3 кв. 8, Довжанськ, 65013",+380 31 328-57-39,lpetrenko@example.com
Шаповал,Мілена,,Жінка,1939-02-07,Гінеколог,селище Решетилівка,"набережна Жуковського, буд. 980 кв. 426, Житомир, 69502",+380 05 709-96-25,vkhudiak@example.net
Іщенко,Єва,,Жінка,1957-12-26,Акушер,місто Дергачі,"парк Обільний 1-й, буд. 462, Радивилів, 52982",054 909-92-79,dturkalo@example.net
Ященко,Клавдія,,Жінка,1993-05-29,Електромонтажник,село Токмак,"вулиця Скидановська, буд. 418 кв. 6, Південне , 05748",077 938-74-53,petrohrechko@example.org
Яценюк,Єлисавета,,Жінка,1975-07-04,Живописець,місто Новояворівськ,"проспект Аеродромний 1-й, буд. 44 кв. 60, Судова Вишня, 43903",504 64 40,allavdovenko@example.org
Гавришкевич,Варвара,,Жінка,1958-02-05,Кінокритик,село Авдіївка,"сквер Гоголя, буд. 7 кв. 974, Камінь-Каширський, 66612",006 837 20 37,pshylo@example.com
Баклан,Розалія,,Жінка,2007-02-22,Петрограф,село Бережани,"парк Васнецова, буд. 439, Лиман , 82151",+380 50 088-42-74,chalenkovolodymyr@example.com
Талан,Людмила,,Жінка,1983-09-05,Футболіст,селище Лисичанськ,"сквер Благовидової, буд. 3, Рожище, 58023",+380 12 452 23 83,varfolomiiieshchenko@example.com
Калениченко,Орина,,Жінка,1971-05-05,Дерун,село Херсон,"проспект Одеський, буд. 843 кв. 452, Зимогір'я, 18870",010 999 20 84,qmedvedenko@example.net
Дерегус,Марʼяна,,Жінка,1983-11-14,Астрофізик,село Дебальцеве,"вулиця Старорізнична, буд. 4, Червоноград, 47858",+380 47 444-67-08,rozaliiakarmaliuk@example.org
Товстуха,Орина,,Жінка,1960-10-16,Психолог,селище Сніжне,"площа Новощіпний ряд, буд. 82 кв. 506, Червоносів, 24107",497-25-24,valerii04@example.org
Удовиченко,Альбіна,,Жінка,1972-04-08,Лікар,хутір Перечин,"площа Братів Поджіо, буд. 7, Узин, 87733",+380 (83) 736-91-00,fastenkokhoma@example.org
Товстоліс,Марія,,Жінка,1938-05-04,Фізик,хутір Дубровиця,"провулок Пейзажна, буд. 9, Барвінкове, 25231",+380 23 163 62 00,emiliia75@example.com
Сірченко,Марина,,Жінка,1949-06-04,Фермер,селище Немирів,"сквер Лінія 23-тя, буд. 593 кв. 108, Остер , 56815",+380 97 498-63-90,stepan06@example.net
